id,comment,label
train_000039,shop phục vụ tốt thời gian giao hàng nhanh,0
train_000040,sản phẩm tốt hỗ trợ khách hàng nhiệt tình,0
train_000041,giày đẹp mang êm chân lắm nha shop,0
train_000042,chất liệu kiểu dáng quần hơi ngắn,0
train_000043,hàng lỗi quá màn hình cháy phim bong,1
train_000044,chất lượng sản phẩm tuyệt vời thời gian giao hàng nhanh ngon ủng hộ shop dài dài,0
train_000045,dùng nghe bạn m dùng r fb chất lượng khá tốt serum thơm mùu bưởi 1 góp ý shop thay lọ đựng sang loại khác bọn m mua lần thấy hầu hết lọ vòi xịt k ổn,0
train_000046,uống ngon giao hàng nhanh chất lượng sản phẩm tuyệt vời,0
train_000047,shop bảo làm yêu cầu yêu cầu cao su chống trượt yêu cầu thôi nhịn đắng cục tức vậy bạn mua chú ý sẵn ngậm cục tức di rơi mấy lần lôi kê tay cũ xài,1
train_000048,rẻ lầm chất lượng lém,0
train_000049,hủy shop giao ship đổi màu shop k nhận đơn hủy cố giao,1
train_000050,đóng gói sản phẩm kémtư vấn k nhiệt tình,1
train_000051,sản phẩm tốt ưng ý,0
train_000052,e xay đá gãy ko xay dc ạ,0
train_000053,sản phẩm đẹp y hình chất lượng tuyệt vời mik mua một 5 đôi luôn mik ủng hộ shop dài dài,0
train_000054,sản phẩm an toàn quá nguy hiểm người sử dụng đáng mua sp này quá sai lầm mua,1
train_000055,thời gian giao hàng lâu đặt mũ len mèo màu ghi xám giao màu vàng khẩu trang xô mỏng tangk biết giá sale k chất lượng chán thế,1
train_000056,chất lượng sản phẩm tuyệt vời hơi cũ tí mượt lắm thanks shop,0
train_000057,sản phẩm k mong đợik cài dc đồ chơi vàoghế hơi bất tiện sử dụng,0
train_000058,hôm nay tình cờ đọc bài viết bạn cảm thấy vui,1
train_000059,đóng gói sản phẩm chắc chắn sản phẩm dày dặn thời gian giao hàng nhanh,0
train_000060,áo vs giày siêu yêu ạ,0
train_000061,mang đi công tác tiện lợi dùng mượt ko lo trầy xước,0
train_000062,chất lượng quá kém giao hàng đúng mẫu khuyên mọi người mua hàng shop,1
train_000063,đặt lần 2 giao hàng lâu quá,1
train_000064,khăn dày đẹp,0
train_000065,đặt tat bé giao tat nguoi lon giao lộn hỏi k tl,1
train_000066,thoa ngọn tóc thấy tóc rít thoa phần chân mùi thơm,1
train_000067,giao hàng nhanh 3 3 gói hàng siêu kĩ luôn son thơm mùi sữa cacao ghiền luôn á 3333 vỏ son nhìn cưng ghê màu son siêu đẹp chất son lì son kem dưỡng kĩ môi vs tẩy tbc mới đánh xinh đc,0
train_000068,đánh 1 0đặt 3 gói monny l44 tt thẻ ở tp hcm 1 tuần mới nhận đc gói hàng bằng 1 túi nilong người nhà nhận dùm kiểm tra thấy 1 gói yc hoàn tiền yc gọi dt yc shop giao 2 gói thiếu shop hứa đợi đến ngày cuối gửi trả hàng thấy đâu,1
train_000069,thời gian giao hàng nhanh shop phuc vụ quá tệ hang hư hại ma hong lời giai quyết người khác da the ma nguoi kia vay hong chu đáo can xem xet mau hàng shop nay nha cac ban,0
train_000070,đẹp thích hết,0
train_000071,kem dùng ổn tội hơi tối da,0
train_000072,đóng gói sản phẩm đẹp chắc chắn chất lượng sản phẩm tốt,0
train_000073,good value for money good value for money fast delivery excellent service by seller,0
train_000074,chất lượng sản phẩm tốt đóng gói sản phẩm cẩn thận chắc chắn thời gian giao hàng nhanh,0
train_000075,chị chủ tư vấn nhiệt tình hình dáng chất lượng sản phẩm tuyệt vời,0
train_000076,shop đăng ảnh một đằng sản phẩm một lẻo bán cáp úp hình cáp thôi up cục sạc gây nhầm lẫn khách hàng combo cáp dây sạc tôi mua liền 2 nhận hàng mới ngớ người mua đắt chất lượng sản phẩm rõ,1
train_000077,chất lượng sản phẩm tuyệt vời shop tư vấn nhiệt tình ạ 3 ủng hộ shop dài dài,0
train_000078,poor delivery speed poor product quality,1
train_000079,đúng tiền nào ko ngon mùi kì kì ko thơm lạp xưởng bình thường thất vọng vô cùng,0
train_000080,chất lượng sản phẩm tuyệt vời đóng gói sản phẩm đẹp chắc chắncám ơn shop tặng quà ủng hộ tiếp,0
train_000081,giày ok lắm shop ship hàng nhanh,0
train_000082,chất lượng sản phẩm tuyệt vờirất ok,0
train_000083,giày chắc chắn đế hơi bẩn tí chắc lau giao hàng nhanh,0
train_000084,hàng giao thiếu kêu gửi bù tháng thấy gửi nhắn tin ko trả lời,0
train_000085,shop hết hàng báo đặt 1 cặp thế gởi 1 ốp kèm tiền ốp kja thanh toán mở hàng xem 1 ốp số tiền thanh toán xài cặp thế giờ 1 ốp sao đây góp ý thôi,1
train_000086,giao ko đúng đồ tôi lừa,0
train_000087,hk giong mẩu da vay bi lỗi nua,1
train_000088,tương đối hài lòng giày chắc chắn êm đường may thừa còn nói chung ok giá thanks shop nha,0
train_000089,dép xinh chủ shop rep tn nhiệt tình chúc shop buôn may bán đắt ạ,0
train_000090,mua 2đ 2 lỗ xỏ dây ib shop kh trả lời giày rộng mn cân nhắc trc mua,1
train_000091,tốt tgian giao hàng nhanh,0
train_000092,mua nha mọi người,0
train_000093,thấy ghi đc tặng kèm tã quầnđến nhận hàng k thấyhỏi shop nói k có,1
train_000094,shop phục vụ kém nhắn tin hỏi cẩn thận còn k shop nói còn gửi màu sai,1
train_000095,shop phục vụ tốt sản phẩm đúng thông tin đăng tải,0
train_000096,đặt combo shop giao bánh gạo sốt k thấy phô mai chả cá đâucó trả tiền mua combo đầy đủ vâyh thiếu chả báo ib thấy trả lời shop phục vụ kém,1
train_000097,shop uy tín nè hàng đẹp còn đầy đủ hộp pin tặng thêm đeo đồng bọn nó hỏi mua mấy triệu he he chắc nhập hàng shop về bán quá,0
train_000098,chất lượng sản phẩm tuyệt vời đóng gói sản phẩm đẹp chắc chắn hàng giao dung mẫu chọn chất vải dẹp,0
train_000099,sản phẩm k quảng cáo 9058 liên hệ số đt shop vỏ hộp gửi thấy tổng đài báosố đt cóhãi vãi,1
train_000100,chất lượng sản phẩm tuyệt vời đóng gói sản phẩm đẹp chắc chắn giao hàng siu nhanh 1 điểm trừ duy nhất đậu phộng cay lắm,0
train_000101,chất lượng sản phẩm tuyệt vời đóng gói sản phẩm đẹp chắc chắn thời gian giao hàng nhanh còn thêm quà tặng kèm shop phục vụ tốt,0
train_000102,ngọt wá cay wá ướt wá tạm đc đúng giá tiền,1
train_000103,xài shop nhiệt tình giao hàng nhanh đóng gói đẹp 5,0
train_000104,mui khoan xài mau lúc,1
train_000105,mắt dùng tốt,0
train_000106,sản phẩm tốt mẫu mã đẹp chất lượng sản phẩm tuyệt vời,0
train_000107,sản phẩm kém chất lượng độ sáng yếu pin cầm sáng hoài tắt công suất 15w thua bóng 9w hàng kém chất lượng,1
train_000108,sản phẩm tốt xài ưng ý,0
train_000109,đóng gói sản phẩm đẹp chắc chắn tuy nhiên sản phẩm ko đc mong đợi lắm thời gian giao hàng nhanh,0
train_000110,hạt giống k nảy mầm,1
train_000111,chất lượng sản phẩm tuyệt vời shop phục vụ tốt đáng tiền thời gian giao hàng nhanh shop tâm máy dùng thích,0
train_000112,rẻ hơn mua sieu thị nè chất lượng sản phẩm tuyệt vời thời gian giao hàng nhanh,0
train_000113,sp ok lam an uy tin goi hang can than giao hang nhanh,0
train_000114,chất lượng sản phẩm tuyệt vời đóng gói sản phẩm đẹp chắc chắn shop phục vụ tốt đáng tiền thời gian giao hàng nhanh ns chung sp bên shop giá mềm hàng đẹp e ủng hộ shop hơn,0
train_000115,toàn hàng fake mask rẻ tiền bán hàng tâm một chút đi,1
train_000116,hàng ko đúng chất lượng,1
train_000117,chất lượng sản phẩm kémthô,1
train_000118,chất lượng sản phẩm tuyệt vời giao hàng bao nhanh nhé dù ở tphcm shop ngoài đà nẵng mất 2 ngày kể đặt chúc shop mua may bán đắt,0
train_000119,san pham tuyet voi giay ray dep 5sao luon nha shop,0
train_000120,mua 2 cục lap vao ko có tính hiêu ko dùng,1
train_000121,chất lượng sản phẩm kém mua 3 đôi k 1 đôi kêu size chuẩn,1
train_000122,chất lượng sản phẩm kém luoi bọc quat nhỏ wa ko dung đc,1
train_000123,giày đẹp quá thể ưng lắm lắm ủng hộ shop dài dài chất đẹp còn hơn ảnh nữa yêu yêu,0
train_000124,shop phục vụ tốt thời gian giao hàng nhanhchất lượng dùng biết hiệu quả k,0
train_000125,đóng gói sản phẩm đẹp chắc chắn chúc shop đắt khách nha,0
train_000126,đồng hồ đẹp lắm chúc shop bán đắt nhé,0
train_000127,chất lượng sản phẩm tuyệt vời đóng gói sản phẩm tốt shop phục vụ tận tình,0
train_000128,sắm em m905 thấy nói ngon mới xài đánh giá đượccảm nhận qua đầm tay chọn điểm click chính xác wheel lăn 2 chế độ trơn cà nhắc hay giá 1699 tr mua trần anh hà nôi,0
train_000129,ôi cấu hình đt mạnh kinh,1
train_000130,chất lượng sản phẩm kém nhìn hàng nhận mun vứt đi hàng dùng còn ship dc khách làm ăn thất đức,1
train_000131,son đẹp thơm mùi trái cây,0
train_000132,đóng gói sản phẩm kém bánh tráng ỉu nghe mùi chua đề nghị bồi thuờng bên e,1
train_000133,đóng gói sản phẩm đẹp chắc chắn quà tặng kèm siêu dễ thương ah còn mua,0
train_000134,váy nhỏ sao kích thước bé nhà 19kg chon size lớn nhất hok vừa hic,1
train_000135,bình thường mang 38 ma giờ mua 38 mang rộng 40 vậy chất liệu êm,1
train_000136,đóng gói sản phẩm đẹp chắc chắn shop phục vụ tốt chất lượng sản phẩm tuyệt vời lần ủng hộ tiếp,0
train_000137,tuyệt vời ông mặt trời,0
train_000138,sản phẩm giống hình giao hàng nhanh chất lượng biết,0
train_000139,giày giống hình đặt mua màu xám giao màu đỏ hài lòng,1
train_000140,giao hàng hai miếng hít giá nhựa biết làm sao,1
train_000141,chất lượng sp kém shop phục vụ k nhiệt tình hàng lỗi shop k đổi z nói bảo hành,1
train_000142,mua hồng ship đen,1
train_000143,khung viền kim loại máy chắc chắn hơn rồi hỗ trợ 4g cập nhật kịp thời r,0
train_000144,phát sóng mạnh xa đáng mua,0
train_000145,chất lượng sản phẩm tuyệt vời đóng gói sản phẩm đẹp chắc chắn son màu chuẩn chất son mịn mượt k khô môi ưng ủng hộ shop lần,0
train_000146,đóng gói max cẩn thận chất lượng khỏi bàn,0
train_000147,máy dỏm nâng giá cao hạ giá khuyến mãi thất vọng,1
train_000148,thơm mùi dịu ngọt dễ chịu chị chủ shop dễ thương tư vấn nhiệt tình,0
train_000149,mua bộ trong đợt sale 99k tiki hàng giao chậm cháy hàng sao chất lượng sp khác hoàn toàn lần mua ở siêu thị dầu gội lỏng thơm bình thường hay dùng dầu xả mùi kì lạ chua chua xộc lần lấy dùngnói chung cảm giác chính hãng đó,1
train_000150,áo đẹp lông mịn nói chung ưng ý đáng tiền,0
train_000151,o ngon,1
train_000152,k qc jờ mới lắp keu bé dc đổi tốt,1
train_000153,giày chất ổn giao hàng hơi lâu chút đóng gói sản phẩm đẹp chắc chắn đáng tiền,0
train_000154,san pham khac voi hinh mauquan din dau nhotvai mong,1
train_000155,mua bít kq sao tuy nhiên ko ghi shopee ở ngoài bên trong okthanks thời gian giao hàng nhanh,0
train_000156,shop giao hàng nhanh son màu cam sáng chất hơi bột màu chuẩn màu bám chùi,0
train_000157,cảm ơn shop giao hàng nhanh trong 2 gói m thích gói khô gà lá chanh hơn khô thơm ủng hộ shop thêm đóng gói sản phẩm đẹp chắc chắn,0
train_000158,cái đc đấy thích đồ chính hãng,0
train_000159,dong ho sai duoc,0
train_000160,đặt trong ảnh lọ thủy tinh thấy thương hiệu hay nhãn mác giao lọ nhựa hiệu hơi lạ sao viên nghệ ăn dễ ngọt nghe mùi mật ong đúng chắc hiệu quả mới sử dụng vài viên hiệu quả lần tới mua tiếp,0
train_000161,kêu tặng 7 bịch bánh tráng đưa 4 cục kẹo milo,1
train_000162,chất lượng sản phẩm tuyệt vời0k,0
train_000163,chất lượng tốt,0
train_000164,đóng gói sản phẩm đẹp chắc chắn shop phục vụ tốt đáng tiền đáng tiền thời gian giao hàng nhanh thời gian giao hàng nhanh đáng tiền shop phục vụ tốt shop phục vụ tốt đáng tiền chất lượng sản phẩm tuyệt vời,0
train_000165,chất lượng sản phẩm tuyệt vời đóng gói sản phẩm đẹp chắc chắn khá ok,0
train_000166,mk mua sz 41 giao nhầm sz rộng ko đi đc,1
train_000167,chất lượng sản phẩm tốt đóng gói sản phẩm cẩn thận,0
train_000168,túi chắc chắn gói hàng cẩn thận chu đáo,0
train_000169,thời gian giao hàng nhanh 2 áo trùng kiểu,0
train_000170,sản phẩm mẫu mã đẹp chất lượng sản phẩm đánh giá trải sử dụng shop phục vụ tốt nhiệt tình thời gian giao hàng khá nhanh 3 ngày nhận hàng check biết chính hãng hay ae xem hình update kèm hihi thanks shop lần ủng hộ,0
train_000171,chất lượng sản phẩm tuyệt vời đẹp dùng ổn,0
train_000172,đáng tiền thời gian giao hàng nhanh đóng gói sản phẩm đẹp chắc chắn shop phục vụ tốt,0
train_000173,hàng đẹp tuyệt vời hình ở xa mua sợ shop gửi hàng đẹp lỗi giày ko nhăn nheo hài lòng ủng hộ shop dài dài ạ,0
train_000174,17cu mua lg v10 đẹp con dư tiền,1
train_000175,đóng gói sản phẩm đẹp chắc chắn shop phục vụ tốt đáng tiền thời gian giao hàng nhanh giày đẹp y hình shop đăng,0
train_000176,size 3xl 62kg mặc shop gọi điện thoại tư vấn nhiệt tình chu đáo sản phẩm ko giống mô tả sản phẩm vải đẹp đường may vắt sổ còn thừa quá,1
train_000177,hài lòng nhắn shop gửi đồng hồ mặt nhỏ gửi mặt lớn to đeo ko đẹp mua 3,1
train_000178,chuẩn hàng lắm mn ạhh tone ko hề lộ vân đố ai biếttt ko dính quần áo xịt quần áo đen cũg k dính,0
train_000179,shop gói hàng xinh xắn cẩn thận đàn nhỏ xinh âm nghe hay hài lòng,0
train_000180,bộ khung khó sài hình méo mó đẹp,1
train_000181,đèn leb shop gửi câu lộn dây gắn xe ko sáng đèn lưu ý hàn đúng cực âm dương,1
train_000182,giống hình quảng cáo đáng tiền,0
train_000183,đáng tiền đẹp y hình shop phục vụ tốt,0
train_000184,hàng chất lượng tốt giao hàng nhanh chóng shop uy tín,0
train_000185,hang ko thật hinh ảnh hàng gui hàng phek ko đúng hàng shop nói,1
train_000186,dầu thơm bỏ máy phun sương khuếch tán thơm phòng luôn cảm ơn shop đem đến một sản phẩm thiết thực,0
train_000187,giao hàng nhanh sản phẩm đẹp lắm i hình luôn,0
train_000188,gương hơi mờshop k rep tn thật thất vọng vẽ lemloãng ai mua hàng đừng dựa lượng feedback mua,1
train_000189,xui xui trúng cây ko miếng lót ko xài đc,1
train_000190,nhập đúng tên mật khẩu,1
train_000191,chất lượng sản phẩm tuyệt vời đóng gói sản phẩm đẹp chắc chắn đóng gói sản phẩm đẹp chắc chắn,0
train_000192,xấu wa,1
train_000193,xai biet sao,0
train_000194,đóng gói sản phẩm đẹp chắc chắn thời gian giao hàng nhanh chất vải hơi mỏng dày thêm tí đẹp,0
train_000195,led sáng ngon chất lượng sản phẩm tuyệt vời,0
train_000196,nói tích điện sạc điện vôtheo bạn mua sản phẩm mua về tốn tiền sử dụng đượcbán hàng tâm chất lượng sản phẩm kém,1
train_000197,mua phi ca tien cau kem,0
train_000198,đóg gói ko đep,0
train_000199,giao hag z cug lộn sai nửa dat sai 31 ma giao sai 28 ak,1
train_000200,ngon giòn đáng tiền tiền ship hơi cao,0
train_000201,hàng rất tốt giao hàng rất nhanh và gói hàng rất cẩn thận cảm ơn shop vì cái giắc dc,0
train_000202,chất lượng sản phẩm kém mùi nhựa hôi độc hại dám con ngồi giờ vứt xó mua phí tiền,1
train_000203,đang định con aiphone 7 nghe quảng cáo thiếu thứ quá chắc mua tưởng dùng camera kép tưởng dùng dual pixel tưởng dùng flash kép tưởng bỏ home lý tưởng thứ nữa giá trời hjc hjc,1
train_000204,giày phù hợp giá tiền,0
train_000205,đóng gói sản phẩm đẹp chắc chắn đáng tiền,0
train_000206,mói dùng mây hôm rât tôt về lâu dài thi chờ xem mắt hàng chất lượng giá rẻ,0
train_000207,đẹp đường nét tinh tế lắm,0
train_000208,mọi người mua lạp xưởng tươi shop đi nha ngonvà ko ngán mong đợi mình đóng gói sản phẩm đẹp chắc chắn shop phục vụ tốt đáng tiền thời gian giao hàng nhanh,0
train_000209,đáng tiền chất lượng sản phẩm tuyệt vời thank shop,0
train_000210,sản phẩm oke,0
train_000211,giày làm chất liệu hôi quá,1
train_000212,tôi xài m7 mới tới giờ ko lý đổi máy khác phần cứng phần mềm tuyệt vời tôi vô tình làm rớt độ cao hơn 1 m ko 10 lần giờ sử dụng ok ngoài võ xước,0
train_000213,sản phẩm đẹp đóng gói chắc chắn k pin dự phòng,0
train_000214,kém chất lượngmua phí tiền,1
train_000215,đẹp lắm shop,0
train_000216,đúng sản phẩm lắp tháo dễ dàng giao nhanh,0
train_000217,đã bỏ thích dõi fanpage của tiki gỡ app tiki vì lúc nào phải thấy bản mặt lờ của chi pu,1
train_000218,chất lượng sản phẩm tuyệt vời đồng hồ đẹp quá mua thêm 2,0
train_000219,chất lượng sản phẩm tuyệt vời tội đơn vị vận chuyển chậm quá 5 ngày mới nhận đc,0
train_000220,giấy quá mỏng đọc khá đau đầu tên riêng dịch tiếng việt đọc hơi thấy mọi người khen mới mua thế mà thất vọng quá,1
train_000221,khá ưng giá mua đôi ntn quá tuyệt,0
train_000222,nội dung bàn sách mua tặng bạn thôi đọc bao giờ mjk bực kinh khủng sách quá bẩn luôn bao giờ bực tiki luôn ấy mong gặp đợt hàng nào nữa,1
train_000223,đáng tiền cảm ơn sop nha hang ok lắm hàng dùng đc e ủng hộ sop lau dài,0
train_000224,đóng gói sản phẩm đẹp chắc chắn số đúng mạng dùng nghe gọi,0
train_000225,bạn phòng mua shoppe 260k mua 440k chất liệu k bằng mới móc mấy bộ áo dài gãy tưởng tiki bán hàng uy tín chấp nhận mua giá cao hơn quá thất vọng k bao giờ mua giới thiệu tiki,1
train_000226,quyển thượng thật thu hút tôi cuốn tình huống dễ thương gặp gỡ đối thoại sinh động ấn bản in hề khác về dịch thuật câu hay hơn mang tính việt hóa hơn y hệt internet vậy lẽ câu hay phần a lan nhược chi mộng quá dài dòng phức tạp bây giờ mới thấy kể tác giả lập quá nhân vật giải quyết hết gút mắc họ làm câu về loãng chán,1
train_000227,dùng biết chất lượng ntn 5 sao shop tư vấn nhiệt tình chúc shop luôn đắt hàng,0
train_000228,sản phẩm tốt ạ,0
train_000229,giày đẹp lắm luôn chị chủ shop nhiệt tình tư vấn lại còn chụp ảnh thật sp gửi mỗi tội size hơi rộng chút thôi đáng tiền,0
train_000230,mẫu mã y ảnh hộp bọc cẩn thận,0
train_000231,hàng tương đối ok đáng tiền,0
train_000232,màu đẹp cực,0
train_000233,đóng gói sản phẩm đẹp chắc chắn thời gian giao hàng nhanh date sữa mới tận 2020,0
train_000234,san phạm khác voi mo ta thay ko dung,1
train_000235,pin 2300 nhìn thấy nản rồi,1
train_000236,shop giao hàng nhanh chất lượng sản phẩm đáng tiền cấc bác ạ,0
train_000237,mới mua thấy tiện thể sạc pin cầm đi sử dụngnhưng vắt đau lắm thay cao su media hoặc unimon đỡ đau hơn tự động thả nhấn nút hút liên tục thôi lâu lâu sử dụng được,1
train_000238,giày bao êm bao đẹp thích chắc ủng hộ shop dài dài chất lượng sản phẩm tuyệt vời đáng tiền,0
train_000239,ủa bán kính phụ kiện đi kèm shop,1
train_000240,trà thơm uống ngon tiếc loại hoa dâm bụt 20góihộp,0
train_000241,hành động mang tính chất biểu diễn nhân vật trong clip nói nghiêm khắc kiểu đùa thế,0
train_000242,hàng nguyên seal ngon bổ rẻ vận chuyển lâu quá,0
train_000243,ko biet ảnh huong sức khoe gia đình k,1
train_000244,ko hợp khẳu vị lắm thời gian giao hàng nhanh,0
train_000245,giày xinhhh lí kĩ thuật tặng thêm một đôi thích ghê,0
train_000246,k nhu mong muon k co tang ma viet la co that vong,0
train_000247,date mới giao hàng nhanh shop phục vụ tốt đáng tiền,0
train_000248,chất lượng sản phẩm tuyệt vời đóng gói sản phẩm đẹp chắc chắnmáy tuy nhỏ võ ạđộ bền em dám nói 10 sao em vote ạrất cảm ơn shop,0
train_000249,chất liệu cặp ưng ý dày dặn kết cấu chắc chắn màu đúng hình quảng cáo thời gian giao hàng nhanh nói chung tốt,0
train_000250,chất lượng sản phẩm tuyệt chất lượng sản phẩm tuyệt vời đóng gói sản phẩm đẹp chắc chắn thời gian giao hàng nhanh đáng tiền shop phục vụ tốt,0
train_000251,vở đẹp,0
train_000252,khác hình mẫu,1
train_000253,chất lượng sản phẩm tuyệt vời ốp ưng ý,0
train_000254,chất lượng tốt đóng gói đẹp giảm độ mặn chút xíu ăn hơn,0
train_000255,quat be giu trả rát mat thoi gian kg co thoi gian đáng tiền,1
train_000256,sim mất 1 tháng sai lầm mua chất lượng sản phẩm kém,1
train_000257,sản phẩm loa bass 20cm nhận hư lỗi hoạt động buồn vậy,1
train_000258,yếu ko dùng,1
train_000259,giày tốt mang êm sao ít chọn giao hàng trong ngày tận 3 ngày kể ngày order mới nhận,1
train_000260,shop giao thiếu dụng cụ lấy mụn e mất,0
train_000261,hag tam dc hag bi lem keo nhieu wa mjnh co luu y shop nho kt truoc ma nhan hag kt thay lem keo rat nhieu lan shop luu y chat luong de kh hag yen tam,0
train_000262,tôi nhận 2 hũ 1 hũ còn nguyên tem 1 hũ tem chống hàng giả rách sản phẩm mở dán keo dấu keo đen nham nhở sản phẩm hài lòng về cách,1
train_000263,dập trợ lực xài tốt tuy giá hơi cao tí sp đúng mô tả shop nhiệt tình giao đúng mẫu,0
train_000264,chất lượng sản phẩm tuyệt vời ủng hộ,0
train_000265,giao sai hàng khách,1
train_000266,sp tạm dùng,0
train_000267,sản phẩm cực kém chất lượng cường lực xước hết dán nhìn máy khác đồ bỏ,1
train_000268,giày đẹp vải tốt đáng tiền,0
train_000269,chất lượng sản phẩm kém đáng tiền dùng nốt đỏ tốt nhất mua,1
train_000270,ghế chắc chắn,0
train_000271,ưng ý ủng hộ đơn hàng ạ đóng gói sản phẩm đẹp chắc chắn,0
train_000272,đóng gói sản phẩm đẹp chắc chắn dùng rõ chất lượng hy vọng tốt thanks shop,0
train_000273,ừ quá tuyệt vời đóng gói sản phẩm đẹp chắc chắn shop phục vụ tốt đáng tiền,0
train_000274,đồ đẹp shop gửi hàng chậm quá hichic dù sao shop 5 sao lần shop gói hàng ki hơn tý ạ,0
train_000275,chất lượng sản phẩm ok,0
train_000276,đóng gói sản phẩm đẹp chắc chắn gjầy mang êm giao hàng nhanh,0
train_000277,hài lòng thời gian giao hành nhanh,0
train_000278,chất chất lượng sản phẩm tuyệt vời đc shop tặng thêm gói trà đào xinh xinh ủng hộ shop hơn,0
train_000279,hàng đẹp siêu xinh xắn,0
train_000280,chất lượng sản phẩm kém đồng hồ hết pinshop phục vụ kémib k trả lờimn cân nhắc trc kbi mua,1
train_000281,đẹp xuất sắc nè,0
train_000282,chất lượng sản phẩm tuyệtvời nhung con hoi dau,0
train_000283,mùi thơm dễ chịu chất lượng sản phẩm tuyệt vời đóng gói sản phẩm đẹp chắc chắn,0
train_000284,giày đẹpchuẩn size,0
train_000285,good tôi hài lòng sản phẩm shop chất lượng sản phẩm tuyệt vời,0
train_000286,thời gian giao hàng chậm giao sai mã màu,1
train_000287,mua bộ giường hơi kèm bơm điện nhận giường hơi thôi tự mua bơm điện dùng lần đầu tiên mua hàng tiki thấy hài lòng nhất lần mua nhà cung cấp,1
train_000288,đóng gói sản phẩm đẹp chắc chắnchất lượng phù hợp giá cảnói chung giòn ngon,0
train_000289,mua giày nưc gửi giày nam đến chịu,1
train_000290,giày y hình êm chân giá tốt cám ơn shop,0
